District_C11ID,Area.Other.Kharif.Pulses,Prod.Other.Kharif.Pulses,Yield.Other.Kharif.Pulses,Area.Moong,Prod.Moong,Yield.Moong,Area.Moth,Prod.Moth,Yield.Moth,Area.Other.Rabi.Pulses,Prod.Other.Rabi.Pulses,Yield.Other.Rabi.Pulses,Area.Peas...Beans..Pulses.,Prod.Peas...Beans..Pulses.,Yield.Peas...Beans..Pulses.,Area.Urad,Prod.Urad,Yield.Urad,Area.Gram,Prod.Gram,Yield.Gram,Area.Masoor,Prod.Masoor,Yield.Masoor,Area.HorseGram,Prod.HorseGram,Yield.HorseGram,Area.Arhar..Tur.,Prod.Arhar..Tur.,Yield.Arhar..Tur.,areaTot,prodTot,yieldTot,diversity,dominant_pulses
462,10503,4232.25,0.405,1090,362,0.33,NA,NA,NA,8199,3374.75,0.41,1174.333333,577.6666667,0.503333333,8279.5,3477.75,0.4225,36178.25,16636.25,0.4575,5995.666667,2337.666667,0.396666667,NA,NA,NA,29702.375,13847.25,0.47,101122.125,44845.58333,0.44347944,4.130423428,Area.Gram
464,92228.25,29525.5,0.32,1918,601,0.31,NA,NA,NA,113,40,0.27,163.6666667,75.66666667,0.463333333,53623.75,24716.25,0.465,14774.5,9139.875,0.57,1,NA,NA,9821,3664.25,0.39,4822.5,2281.875,0.47125,177465.6667,70044.41667,0.394692776,2.68645733,Area.Other.Kharif.Pulses
466,13232.75,2347.25,0.195,3045,734,0.24,NA,NA,NA,997.75,334.25,0.3225,399,133.6666667,0.336666667,2726.25,843.5,0.3075,14587.75,12375.5,0.83125,647,244.3333333,0.376666667,485.5,153.75,0.32,11475.375,10826.5,0.9475,47596.375,27992.75,0.588127772,4.209980139,Area.Gram
467,121,2,0.02,639.5,175,0.275,NA,NA,NA,NA,NA,NA,8.25,3,0.37,1920.75,578.5,0.2975,2609.2,2494.8,0.95,25.5,10.75,0.43,41.25,13,0.31,3812.6,4012.2,1.052,9178.05,7289.25,0.794204651,3.30869719,Area.Arhar..Tur.
468,785.7142857,250,0.35,67772.72727,27827.27273,0.389090909,14627.27273,4654.545455,0.320909091,866.6666667,433.3333333,0.66,NA,NA,NA,150,100,0.75,333.3333333,322.2222222,0.962222222,NA,NA,NA,NA,NA,NA,100,100,1,84635.71429,33687.37374,0.398027878,1.489661574,Area.Moong
469,5760,3000,0.535,29190.90909,13300,0.438181818,11145.45455,4300,0.38,300,200,0.625,NA,NA,NA,3854.545455,2681.818182,0.628181818,610,560,0.904,NA,NA,NA,NA,NA,NA,2863.636364,2381.818182,0.880909091,53724.54545,26423.63636,0.491835457,2.79404516,Area.Moong
470,2887.5,1550,0.55625,15887.5,6962.5,0.445,3600,1550,0.4725,100,100,1,NA,NA,NA,10037.5,4512.5,0.4125,8187.5,5612.5,0.7,NA,NA,NA,NA,NA,NA,1150,1100,0.95875,41850,21387.5,0.511051374,3.955072989,Area.Moong
471,2672.727273,1400,0.515454545,18618.18182,8527.272727,0.46,1781.818182,609.0909091,0.360909091,200,150,0.835,NA,NA,NA,7645.454545,3709.090909,0.482727273,309.0909091,309.0909091,0.958181818,NA,NA,NA,NA,NA,NA,1136.363636,827.2727273,0.849090909,32363.63636,15531.81818,0.47991573,2.512757494,Area.Moong
472,2400,1090.909091,0.454545455,7954.545455,3327.272727,0.383636364,544.4444444,211.1111111,0.473333333,NA,NA,NA,NA,NA,NA,12200,5318.181818,0.459090909,2827.272727,2018.181818,0.661818182,NA,NA,NA,NA,NA,NA,30127.27273,17481.81818,0.656363636,56053.53535,29447.47475,0.525345539,2.771168666,Area.Arhar..Tur.
473,1410,910,0.538,3027.272727,1909.090909,0.559090909,285.7142857,150,0.475,NA,NA,NA,NA,NA,NA,550,360,0.637,157.1428571,128.5714286,0.857142857,NA,NA,NA,NA,NA,NA,663.6363636,572.7272727,0.830909091,6093.766234,4030.38961,0.661395507,3.094055449,Area.Moong
474,3345.454545,2163.636364,0.602727273,2336.363636,1127.272727,0.467272727,1280,540,0.422,NA,NA,NA,NA,NA,NA,872.7272727,437.2727273,0.507272727,14272.72727,7763.636364,0.514545455,NA,NA,NA,NA,NA,NA,2118.181818,1581.818182,0.838181818,24225.45455,13613.63636,0.561955869,2.582518901,Area.Gram
475,640,340,0.54,4563.636364,2236.363636,0.488181818,3927.272727,1645.454545,0.420909091,100,0,0,NA,NA,NA,180,130,0.808,9345.454545,8200,0.752727273,NA,NA,NA,NA,NA,NA,140,140,1,18896.36364,12691.81818,0.671653998,2.878239368,Area.Gram
476,890.9090909,454.5454545,0.524545455,5454.545455,2672.727273,0.481818182,736.3636364,309.0909091,0.407272727,100,100,1,NA,NA,NA,4863.636364,2936.363636,0.638181818,5981.818182,7227.272727,1.065454545,NA,NA,NA,NA,NA,NA,845.4545455,627.2727273,0.833636364,18872.72727,14327.27273,0.759152216,3.90334419,Area.Gram
477,225,112.5,0.54125,3509.090909,1709.090909,0.475454545,262.5,187.5,0.75,125,100,0.875,NA,NA,NA,3963.636364,2327.272727,0.627272727,15681.81818,21263.63636,1.199090909,NA,NA,NA,NA,NA,NA,2009.090909,1454.545455,0.877272727,25776.13636,27154.54545,1.053476172,2.388971586,Area.Gram
478,NA,NA,NA,975,500,0.48625,400,300,0.75,200,100,0.5,NA,NA,NA,550,350,0.60875,11875,14912.5,1.2475,NA,NA,NA,NA,NA,NA,100,100,1,14100,16262.5,1.153368794,1.395365976,Area.Gram
479,150,100,0.75,3245.454545,1554.545455,0.477272727,NA,NA,NA,233.3333333,200,0.907777778,NA,NA,NA,5445.454545,3245.454545,0.609090909,6300,8509.090909,1.229090909,NA,NA,NA,NA,NA,NA,2318.181818,1690.909091,0.843636364,17692.42424,15300,0.864776912,3.668503317,Area.Gram
480,530,288.8888889,0.582222222,3827.272727,1763.636364,0.454545455,611.1111111,277.7777778,0.515555556,100,100,1,NA,NA,NA,3163.636364,1900,0.590909091,3500,4320,1.046,NA,NA,NA,NA,NA,NA,854.5454545,718.1818182,0.850909091,12586.56566,9368.484848,0.744324155,4.136203765,Area.Moong
481,400,187.5,0.55625,3363.636364,1454.545455,0.450909091,918.1818182,327.2727273,0.41,200,100,0.5,NA,NA,NA,1972.727273,1018.181818,0.564545455,1450,1420,0.914,NA,NA,NA,NA,NA,NA,890.9090909,636.3636364,0.812727273,9195.454545,5143.863636,0.559391992,4.41663492,Area.Moong
482,533.3333333,200,0.64,662.5,312.5,0.4575,100,70,0.7,260,220,0.834,NA,NA,NA,125,100,0.875,3187.5,1875,0.5975,NA,NA,NA,NA,NA,NA,1050,975,0.92875,5918.333333,3752.5,0.634046747,2.899743097,Area.Gram
483,633.3333333,355.5555556,0.66,1490.909091,663.6363636,0.446363636,700,290.9090909,0.451818182,100,50,0.5,NA,NA,NA,754.5454545,418.1818182,0.606363636,1900,1345.454545,0.835454545,NA,NA,NA,NA,NA,NA,6554.545455,6309.090909,0.932727273,12133.33333,9432.828283,0.777430902,2.928813748,Area.Arhar..Tur.
484,981.8181818,554.5454545,0.529090909,2081.818182,945.4545455,0.438181818,100,100,1,816.6666667,583.3333333,0.743333333,NA,NA,NA,6963.636364,3154.545455,0.562727273,7800,6054.545455,0.755454545,NA,NA,NA,NA,NA,NA,29500,32663.63636,1.152727273,48243.93939,44056.06061,0.913193681,2.361585813,Area.Arhar..Tur.
485,312.5,150,0.52875,1037.5,487.5,0.46375,NA,NA,NA,500,316.6666667,0.618333333,NA,NA,NA,11350,4387.5,0.40625,44425,36662.5,0.82125,NA,NA,NA,NA,NA,NA,15025,17925,1.18625,72650,59929.16667,0.824902501,2.265656237,Area.Gram
486,1163.636364,700,0.652727273,2218.181818,1027.272727,0.447272727,470,180,0.408,250,183.3333333,0.823333333,NA,NA,NA,13318.18182,9818.181818,0.726363636,1572.727273,1427.272727,0.859090909,NA,NA,NA,NA,NA,NA,82490.90909,68545.45455,0.852727273,101483.6364,81881.51515,0.806844513,1.473136843,Area.Arhar..Tur.
487,200,100,0.5,875,437.5,0.46625,200,125,0.6675,100,100,1,NA,NA,NA,775,475,0.61125,950,937.5,1.02125,NA,NA,NA,NA,NA,NA,18612.5,17762.5,0.95375,21712.5,19937.5,0.918249856,1.351646816,Area.Arhar..Tur.
488,636.3636364,400,0.589090909,2509.090909,1109.090909,0.440909091,572.7272727,236.3636364,0.403636364,2287.5,1487.5,0.6075,NA,NA,NA,3236.363636,1927.272727,0.657272727,2009.090909,1154.545455,0.605454545,NA,NA,NA,NA,NA,NA,55400,34345.45455,0.634545455,66651.13636,40660.22727,0.610045522,1.434906988,Area.Arhar..Tur.
489,1000,500,0.487142857,450,250,0.75,NA,NA,NA,1160,760,0.71,NA,NA,NA,3990.909091,2818.181818,0.707272727,740,730,0.873,NA,NA,NA,NA,NA,NA,3518.181818,2845.454545,0.788181818,10859.09091,7903.636364,0.727835915,3.755330631,Area.Urad
490,487.5,287.5,0.6025,400,200,0.5,NA,NA,NA,1850,1375,0.73875,NA,NA,NA,2762.5,1712.5,0.62375,1600,1662.5,1.01,NA,NA,NA,NA,NA,NA,3000,2825,0.935,10100,8062.5,0.798267327,4.432988851,Area.Arhar..Tur.
491,680,330,0.528,272.7272727,154.5454545,0.675454545,500,300,0.78,3520,2740,0.709,NA,NA,NA,5772.727273,3218.181818,0.557272727,790.9090909,718.1818182,0.950909091,NA,NA,NA,NA,NA,NA,5609.090909,3572.727273,0.680909091,17145.45455,11033.63636,0.643531283,3.740556792,Area.Urad
492,1109.090909,745.4545455,0.63,2390.909091,1100,0.441818182,433.3333333,150,0.44,972.7272727,681.8181818,0.669090909,NA,NA,NA,2909.090909,1518.181818,0.535454545,2236.363636,1781.818182,0.858181818,NA,NA,NA,NA,NA,NA,23318.18182,23181.81818,1.023636364,33369.69697,29159.09091,0.87381947,1.969877339,Area.Arhar..Tur.
493,800,466.6666667,0.556666667,2833.333333,1266.666667,0.43,NA,NA,NA,1766.666667,1366.666667,0.773333333,NA,NA,NA,3033.333333,1733.333333,0.566666667,1866.666667,2633.333333,1.403333333,NA,NA,NA,NA,NA,NA,15033.33333,9466.666667,0.633333333,25333.33333,16933.33333,0.668421053,2.562237167,Area.Arhar..Tur.
496,1596.833333,1474.833333,0.916666667,NA,NA,NA,NA,NA,NA,4282.833333,3762.333333,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1327.5,1210,0.916666667,7207.166667,6447.166667,0.894549407,2.292814963,Area.Other.Rabi.Pulses
497,12400,3700,0.282,14415.09091,7945,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,16554.27273,9356.909091,0.568181818,14334.18182,11389.72727,0.746363636,NA,NA,NA,NA,NA,NA,20262.54545,8665.454545,0.466363636,77966.09091,41057.09091,0.526601891,4.856603775,Area.Arhar..Tur.
498,10740,3320,0.302,19232.54545,11185,0.570909091,NA,NA,NA,550,350,0.35,NA,NA,NA,8756.636364,5097.909091,0.568181818,13950,10543.54545,0.754545455,NA,NA,NA,NA,NA,NA,7608.818182,3652.454545,0.501818182,60838,34148.90909,0.561308871,4.543008041,Area.Moong
499,5860,1800,0.296,36467.90909,18395.36364,0.503636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,50708.45455,26050.18182,0.519090909,40643.63636,39920.36364,0.967272727,NA,NA,NA,NA,NA,NA,21454.45455,14484.72727,0.69,155134.4545,100650.6364,0.648796147,3.979417682,Area.Urad
500,7540,2360,0.244,63685.63636,26249.81818,0.428181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,56009.81818,24280.90909,0.437272727,42350.54545,33384.18182,0.713636364,NA,NA,NA,NA,NA,NA,56014.81818,37114.45455,0.692727273,225600.8182,123389.3636,0.546936685,4.178274471,Area.Moong
501,4920,1720,0.288,49934.18182,19464.90909,0.399090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,13125.09091,6081.545455,0.458181818,39032.18182,32486.90909,0.74,NA,NA,NA,NA,NA,NA,46970.90909,37220.45455,0.818181818,153982.3636,96973.81818,0.629772241,3.693422232,Area.Moong
502,3520,1140,0.274,37034.63636,17023.18182,0.461818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,40408.63636,22371.72727,0.543636364,38254.09091,31046.36364,0.734545455,NA,NA,NA,NA,NA,NA,43654.81818,36083.90909,0.849090909,162872.1818,107665.1818,0.66104095,4.154029656,Area.Arhar..Tur.
503,8400,2840,0.324,53885.54545,17588,0.325454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,6416.454545,2284.636364,0.353636364,52303.36364,45281.45455,0.838181818,NA,NA,NA,NA,NA,NA,89268,72191.63636,0.838181818,210273.3636,140185.7273,0.66668324,3.22270628,Area.Arhar..Tur.
504,1060,320,0.29,682.3636364,327.5454545,0.504545455,NA,NA,NA,300,100,0.348,NA,NA,NA,382.0909091,180.0909091,0.549090909,21998.36364,12661.09091,0.583636364,NA,NA,NA,NA,NA,NA,52561.09091,49672,0.967272727,76983.90909,63260.72727,0.821739608,1.824431426,Area.Arhar..Tur.
505,4080,1300,0.314,1801.545455,764.3636364,0.449090909,NA,NA,NA,1300,540,0.406,NA,NA,NA,1619.636364,655.3636364,0.457272727,46323.18182,30660.18182,0.639090909,NA,NA,NA,NA,NA,NA,48022.90909,33937.27273,0.708181818,103147.2727,67857.18182,0.657866951,2.376850825,Area.Arhar..Tur.
